test_id, num_years, time_sec
1.1, 10, 94.8
1.2.1, 10, 535.8
1.2.2, 10, 312.1
1.3.1, 10, 1107.9
1.3.2, 10, 32.8
1.4.1, 10, 935.8
1.4.2, 10, 28.1
2.1, 10, 89.7
2.2, 10, 568.2
2.3, 10, 74.7
2.4, 10, 10.6
3.1, 10, 87.1
3.2, 10, 658.1
3.3, 10, 59.8
3.4, 10, 4.9
1.1, 10, 58.8
1.2.1, 10, 493.6
1.2.2, 10, 352.8
1.3.1, 10, 1554.2
1.3.2, 10, 27.3
1.4.1, 10, 1338.3
1.4.2, 10, 28.2
2.1, 10, 41.7
2.2, 10, 478.6
2.3, 10, 17.7
2.4, 10, 13.5
3.1, 10, 48.2
3.2, 10, 513.3
3.3, 10, 17.8
3.4, 10, 4.6
1.1, 10, 57.8
1.2.1, 10, 479.6
1.2.2, 10, 504.7
1.3.1, 10, 1470.5
1.3.2, 10, 32.7
1.4.1, 10, 1284.8
1.4.2, 10, 30.0
2.1, 10, 57.8
2.2, 10, 505.3
2.3, 10, 28.5
2.4, 10, 7.5
3.1, 10, 75.9
3.2, 10, 529.7
3.3, 10, 48.0
3.4, 10, 4.4
2.5, 10, 133.8
2.5, 10, 122.5
2.5, 10, 117.4
1.2.1.2, 10, 690.5
1.2.2.2, 10, 545.1
2.2.2, 10, 598.2
1.2.1.2, 10, 740.3
1.2.2.2, 10, 558.0
2.2.2, 10, 656.3
3.2.2, 10, 770.2
1.2.1.2, 10, 700.8
1.2.2.2, 10, 397.4
2.2.2, 10, 657.3
